AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
3630.38461407, 3315.12820319, 3557.56410111, 3422.43589570, 3465.38461372, 3424.61538288, 3577.17948572, 3700.38461421, 4002.43589688, 3486.41025482, 3590.38461400, 3078.71794622, 3396.41025461, 4139.48717928,0
3622.17948586, 3304.48717748, 3546.79487034, 3404.74358794, 3446.79487013, 3402.30769050, 3560.76922931, 3683.97435780, 3991.02564047, 3477.56410090, 3576.66666521, 3075.76922827, 3383.58974179, 4142.05128185,0
3614.35897304, 3295.89743389, 3525.64102412, 3399.48717768, 3443.58974186, 3395.25640845, 3560.38461393, 3682.94871677, 3987.69230714, 3459.74358808, 3549.35897290, 3064.48717699, 3364.87179300, 4134.99999973,0
3615.64102432, 3288.20512619, 3509.48717789, 3388.07692127, 3434.74358801, 3391.66666486, 3552.17948572, 3685.12820395, 3989.10256355, 3456.41025475, 3542.30769078, 3061.41025391, 3354.99999813, 4137.30769210,0
3601.92307554, 3268.84615177, 3494.35897276, 3364.61538274, 3404.23076743, 3362.94871608, 3517.69230617, 3661.28205004, 3977.30769176, 3439.74358801, 3526.66666514, 3054.87179237, 3334.74358780, 4136.28205108,0
3582.82051143, 3226.79486964, 3467.17948552, 3329.74358780, 3365.51281864, 3324.23076729, 3485.12820353, 3624.61538330, 3959.23076861, 3398.33333153, 3484.35897276, 3027.69230513, 3287.94871594, 4135.89743569,0
3563.84615239, 3189.48717727, 3435.51281878, 3288.97435696, 3333.46153652, 3293.58974158, 3465.51281885, 3602.43589605, 3949.87179425, 3365.25640838, 3460.51281885, 2999.99999736, 3248.58974144, 4137.43589723,0
3558.20512675, 3188.33333111, 3427.56410083, 3274.87179279, 3323.58974165, 3282.05128004, 3462.56410090, 3604.74358836, 3956.15384553, 3368.20512633, 3464.10256244, 3002.43589480, 3256.79486971, 4131.79487152,0
3566.92307547, 3195.51281829, 3434.10256237, 3281.41025433, 3329.74358780, 3286.79486978, 3472.69230603, 3611.15384484, 3962.30769169, 3373.97435710, 3455.38461372, 3016.79486916, 3267.17948510, 4134.23076896,0
3557.82051137, 3194.87179265, 3431.41025468, 3289.87179286, 3334.61538267, 3291.15384414, 3477.17948552, 3610.12820374, 3955.25640963, 3360.12820326, 3438.84615211, 3013.97435634, 3244.23076708, 4135.76923056,0
3545.76922931, 3191.92307470, 3419.10256237, 3287.82051081, 3322.82051088, 3275.51281843, 3461.28204962, 3598.58974220, 3944.48717887, 3342.30769037, 3423.84615211, 3000.38461275, 3221.92307477, 4135.51282031,0
3539.99999848, 3183.07692079, 3403.84615204, 3270.38461330, 3306.15384414, 3256.41025433, 3443.07692134, 3581.28204990, 3944.23076861, 3333.97435703, 3408.97435717, 2993.58974095, 3216.15384393, 4137.69230749,0
3530.25640873, 3172.56410027, 3396.53845974, 3259.10256202, 3302.94871594, 3259.10256202, 3442.05128032, 3571.92307547, 3946.28205066, 3338.97435703, 3413.58974186, 2997.05127941, 3215.64102342, 4131.28205101,0
3534.35897283, 3178.58974130, 3404.74358794, 3270.51281843, 3310.76922876, 3268.58974151, 3452.69230603, 3577.30769085, 3947.82051220, 3353.07692120, 3434.23076750, 3012.43589480, 3226.15384400, 4132.56410229,0
3548.07692162, 3210.38461316, 3432.43589570, 3309.99999799, 3337.30769037, 3290.51281850, 3478.71794705, 3603.33333195, 3962.56410194, 3381.66666486, 3454.23076757, 3052.82051032, 3257.94871587, 4133.71794844,0
3563.84615239, 3233.20512605, 3459.23076757, 3331.92307498, 3357.05128018, 3313.58974158, 3501.28204969, 3627.56410125, 3972.56410201, 3406.15384435, 3465.38461372, 3089.74358732, 3283.97435696, 4130.76923050,0
3561.66666521, 3222.30769016, 3452.94871628, 3300.51281850, 3342.69230575, 3307.69230568, 3496.15384456, 3622.69230638, 3963.07692246, 3401.53845974, 3463.46153680, 3091.02563860, 3283.97435696, 4132.30769203,0
3533.20512668, 3202.56410034, 3426.02563929, 3266.79486971, 3317.69230575, 3284.99999799, 3473.33333167, 3597.30769092, 3948.07692246, 3377.56410069, 3443.07692134, 3071.53845904, 3263.20512612, 4130.25640998,0
3524.48717796, 3190.51281829, 3408.71794692, 3263.58974151, 3300.64102363, 3264.35897228, 3449.23076757, 3575.38461393, 3937.43589674, 3352.82051095, 3415.64102391, 3053.84615135, 3235.25640811, 4133.71794844,0
3536.41025489, 3184.74358752, 3405.64102384, 3269.74358766, 3296.15384414, 3258.97435689, 3450.12820346, 3577.94871656, 3937.30769162, 3347.30769037, 3409.35897256, 3054.48717699, 3228.33333118, 4132.30769203,0
3544.99999854, 3185.89743368, 3406.53845974, 3265.64102356, 3294.99999799, 3259.87179279, 3468.07692141, 3584.48717810, 3940.25640963, 3352.05128018, 3422.82051109, 3066.66666417, 3236.15384400, 4128.71794844,0
3543.07692155, 3181.92307463, 3396.15384435, 3248.07692093, 3287.17948517, 3258.33333125, 3469.74358808, 3574.48717803, 3935.76923008, 3339.74358780, 3413.58974186, 3058.71794622, 3222.30769016, 4136.28205108,0
3527.17948565, 3170.89743361, 3373.33333146, 3230.51281836, 3281.28204920, 3262.56410048, 3464.87179321, 3570.25640880, 3931.66666598, 3319.87179293, 3374.35897249, 3035.64102307, 3195.51281829, 4130.38461511,0
3534.23076771, 3168.97435669, 3369.99999813, 3231.53845939, 3281.92307484, 3263.20512612, 3464.48717782, 3574.23076778, 3933.84615316, 3318.58974165, 3366.79486992, 3037.05127948, 3197.69230547, 4128.20512793,0
3546.53846008, 3172.30769002, 3378.46153659, 3246.66666452, 3278.07692100, 3247.56410041, 3447.94871628, 3557.43589598, 3930.38461469, 3326.53845960, 3388.20512640, 3052.17948461, 3212.43589522, 4135.12820485,0
3537.05128053, 3165.51281822, 3361.66666479, 3237.05127990, 3262.69230561, 3223.71794657, 3419.48717775, 3526.02563950, 3914.99999931, 3305.51281850, 3371.28204941, 3040.76922820, 3193.07692086, 4135.76923056,0
3542.94871642, 3170.12820284, 3353.97435710, 3217.94871580, 3260.25640818, 3224.74358759, 3419.61538288, 3528.07692155, 3915.51281982, 3287.17948517, 3350.38461351, 3038.46153589, 3177.56410027, 4141.02564082,0
3552.82051137, 3192.05127983, 3373.33333146, 3234.99999785, 3277.17948510, 3247.30769016, 3437.82051109, 3554.10256265, 3936.02564033, 3305.12820312, 3360.64102377, 3063.71794622, 3197.05127983, 4138.58974339,0
3554.87179342, 3189.74358752, 3379.23076736, 3258.33333125, 3278.71794664, 3246.66666452, 3432.82051109, 3552.05128060, 3941.66666605, 3313.07692107, 3366.02563915, 3070.76922827, 3203.07692086, 4140.12820492,0
3558.33333188, 3180.76922848, 3374.99999813, 3258.20512612, 3273.46153638, 3238.84615170, 3429.10256237, 3544.87179342, 3938.58974297, 3314.74358773, 3372.43589556, 3072.69230519, 3195.64102342, 4145.89743569,0
3559.10256265, 3190.25640804, 3372.94871608, 3238.58974144, 3277.82051074, 3245.76922862, 3440.89743416, 3555.64102419, 3940.51281989, 3330.12820319, 3384.23076743, 3084.74358725, 3200.64102342, 4140.64102544,0
3556.79487034, 3179.74358745, 3354.48717761, 3214.99999778, 3267.05127997, 3235.38461323, 3428.46153673, 3542.69230617, 3929.48717880, 3311.66666466, 3360.76922890, 3073.33333084, 3184.48717727, 4141.92307672,0
3551.41025495, 3166.79486951, 3340.76922883, 3223.20512605, 3260.64102356, 3224.35897221, 3407.69230589, 3521.02563950, 3919.87179418, 3283.07692107, 3330.76922883, 3060.51281802, 3168.46153617, 4138.20512800,0
3568.33333188, 3184.48717727, 3355.25640838, 3246.02563888, 3273.46153638, 3238.33333118, 3415.76922904, 3537.17948565, 3929.61538392, 3299.99999799, 3341.92307498, 3076.02563853, 3186.28204906, 4134.61538434,0
3591.53846015, 3205.12820291, 3371.41025454, 3246.41025426, 3279.87179279, 3250.38461330, 3432.94871622, 3553.71794726, 3934.87179418, 3322.17948524, 3358.97435710, 3099.23076680, 3200.89743368, 4137.30769210,0
3591.02563964, 3202.82051060, 3368.33333146, 3238.46153631, 3274.61538253, 3243.07692093, 3428.33333160, 3530.25640873, 3921.02564033, 3307.69230568, 3352.69230582, 3108.07692065, 3192.17948496, 4132.56410229,0
3586.53846015, 3191.41025419, 3355.64102377, 3236.66666452, 3261.28204920, 3222.05127990, 3400.76922897, 3501.53845994, 3904.87179411, 3276.66666459, 3337.56410062, 3097.30768988, 3175.76922848, 4134.74358947,0
3575.76922931, 3183.84615163, 3342.69230575, 3226.15384400, 3248.71794657, 3208.07692086, 3376.15384428, 3489.35897276, 3897.56410180, 3256.41025433, 3320.64102370, 3081.02563853, 3163.46153617, 4133.46153819,0
3563.71794726, 3158.84615156, 3323.07692114, 3196.79486958, 3232.82051067, 3197.94871573, 3362.69230582, 3480.64102405, 3895.12820437, 3249.61538253, 3303.97435696, 3066.53845904, 3155.25640797, 4131.79487152,0
3567.82051137, 3149.10256174, 3313.84615183, 3179.87179258, 3223.84615170, 3191.79486958, 3360.38461351, 3488.97435738, 3903.58974283, 3261.66666459, 3308.46153645, 3066.66666417, 3160.12820284, 4136.41025621,0
3582.56410118, 3191.66666445, 3341.66666472, 3208.07692086, 3248.84615170, 3213.33333111, 3379.99999813, 3518.58974206, 3920.51281982, 3297.69230568, 3333.07692114, 3099.35897193, 3187.94871573, 4133.07692280,0
3600.64102426, 3224.48717734, 3370.64102377, 3247.30769016, 3278.07692100, 3242.05127990, 3402.43589563, 3532.05128053, 3925.51281982, 3323.07692114, 3346.66666472, 3132.17948482, 3214.74358752, 4135.51282031,0
3600.89743451, 3219.99999785, 3373.71794685, 3263.07692100, 3285.64102363, 3250.89743382, 3410.25640845, 3533.33333181, 3923.71794803, 3330.12820319, 3356.28204941, 3142.17948482, 3228.71794657, 4134.10256383,0
3593.46153708, 3215.76922855, 3372.43589556, 3254.87179279, 3283.58974158, 3250.89743382, 3412.82051102, 3543.33333181, 3925.25640957, 3333.07692114, 3362.94871608, 3140.76922841, 3230.76922862, 4129.87179460,0
3594.35897297, 3223.84615170, 3373.58974172, 3237.94871580, 3284.61538260, 3258.58974151, 3421.41025468, 3546.28204983, 3926.66666598, 3337.05128011, 3360.38461351, 3141.28204892, 3229.23076708, 4135.89743569,0
3589.74358836, 3234.35897221, 3371.92307505, 3241.15384400, 3292.05128004, 3266.79486971, 3428.71794698, 3540.25640873, 3923.58974290, 3344.61538267, 3362.56410069, 3145.25640790, 3235.64102349, 4131.79487152,0
3594.10256272, 3237.17948503, 3370.38461351, 3255.51281843, 3291.02563901, 3263.97435689, 3426.28204955, 3535.64102412, 3916.66666598, 3341.41025447, 3354.35897249, 3142.05127969, 3236.92307477, 4127.30769203,0
3602.56410118, 3237.17948503, 3374.23076736, 3263.33333125, 3292.30769030, 3270.25640818, 3430.38461365, 3541.02563950, 3918.07692239, 3348.07692120, 3353.97435710, 3151.02563874, 3247.56410041, 4127.94871767,0
3608.84615246, 3250.12820305, 3388.58974179, 3278.07692100, 3309.87179286, 3289.61538260, 3444.99999827, 3551.02563957, 3922.69230700, 3370.51281864, 3382.17948538, 3173.71794643, 3269.61538253, 4128.71794844,0
3621.53846022, 3271.02563894, 3401.28204948, 3292.30769030, 3324.23076729, 3302.82051081, 3457.17948552, 3557.30769085, 3919.74358905, 3370.12820326, 3390.25640845, 3180.64102335, 3269.74358766, 4133.71794844,0
3614.61538330, 3263.71794664, 3387.94871615, 3276.02563894, 3314.48717748, 3295.89743389, 3446.92307526, 3549.87179342, 3909.61538392, 3348.07692120, 3365.64102377, 3167.05127976, 3250.25640818, 4132.05128178,0
3603.84615246, 3235.51281836, 3362.69230582, 3247.94871580, 3289.74358773, 3272.30769023, 3416.79487006, 3524.48717796, 3898.46153770, 3334.99999806, 3355.38461351, 3149.87179251, 3240.12820298, 4131.53846126,0
3611.28204997, 3247.69230554, 3372.05128018, 3269.99999792, 3297.56410055, 3276.15384407, 3416.15384442, 3528.20512668, 3907.30769162, 3351.66666479, 3374.61538274, 3162.17948489, 3258.07692100, 4131.66666639,0
3628.20512689, 3291.41025440, 3407.56410076, 3311.92307491, 3336.41025447, 3312.30769030, 3449.10256244, 3567.56410111, 3928.58974290, 3381.79486999, 3390.76922897, 3197.17948496, 3286.02563901, 4130.12820485,0
3644.74358850, 3312.05128004, 3427.94871622, 3322.82051088, 3356.66666479, 3329.74358780, 3466.53845987, 3583.71794733, 3933.97435828, 3402.56410076, 3404.61538281, 3221.28204913, 3308.20512619, 4134.35897408,0
3644.99999875, 3320.12820319, 3433.97435724, 3334.87179293, 3363.71794685, 3336.02563908, 3473.71794705, 3581.79487041, 3932.30769162, 3421.15384442, 3422.82051109, 3234.87179272, 3324.61538267, 4131.79487152,0
3640.76922945, 3327.56410062, 3436.41025468, 3350.89743403, 3372.94871608, 3349.35897249, 3484.23076764, 3588.71794733, 3930.51281982, 3424.61538288, 3416.02563929, 3234.61538247, 3320.38461344, 4130.64102537,0
3634.35897304, 3323.07692114, 3433.84615211, 3352.43589556, 3376.02563915, 3353.71794685, 3480.89743430, 3581.79487041, 3921.92307623, 3410.38461358, 3404.87179307, 3227.30769016, 3314.99999806, 4132.05128178,0
3629.35897304, 3321.02563908, 3429.99999827, 3348.20512633, 3375.38461351, 3356.02563915, 3478.07692141, 3569.35897290, 3919.48717880, 3413.84615211, 3417.05128032, 3233.07692093, 3332.43589549, 4129.10256383,0
3633.46153715, 3320.51281857, 3424.23076750, 3333.20512626, 3371.79486992, 3360.76922890, 3481.66666507, 3573.07692162, 3919.74358905, 3422.94871622, 3417.82051109, 3234.23076708, 3333.33333139, 4133.84615357,0
3616.92307561, 3309.23076722, 3417.69230596, 3319.10256216, 3361.41025454, 3356.79486992, 3469.61538295, 3569.35897290, 3908.20512751, 3405.89743409, 3398.07692127, 3219.74358759, 3309.99999799, 4134.23076896,0
3592.82051143, 3289.48717748, 3401.15384435, 3309.74358773, 3343.33333139, 3336.41025447, 3444.99999827, 3543.33333181, 3894.48717873, 3377.43589556, 3381.79486999, 3201.66666445, 3293.46153645, 4132.56410229,0
3600.51281913, 3294.74358773, 3386.53845974, 3314.87179293, 3345.12820319, 3335.25640831, 3447.94871628, 3542.94871642, 3904.35897360, 3386.02563922, 3384.74358794, 3204.48717727, 3298.07692107, 4134.61538434,0
