AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4063.07692266, 4122.69230742, 4118.58974332, 4126.28205101, 4123.71794844, 4141.28205108, 4141.02564082, 4116.28205101, 4118.33333306, 4130.38461511, 4116.66666639, 4103.46153819, 4116.66666639, 4124.74358947,0
4071.53846119, 4111.41025614, 4125.38461511, 4121.28205101, 4113.46153819, 4133.97435870, 4160.12820492, 4132.94871767, 4130.25640998, 4141.66666646, 4126.15384588, 4119.48717921, 4123.71794844, 4114.48717921,0
4076.92307658, 4111.15384588, 4126.53846126, 4116.28205101, 4128.58974332, 4132.69230742, 4153.20512800, 4133.84615357, 4123.46153819, 4138.20512800, 4143.33333313, 4122.82051255, 4101.02564068, 4123.33333306,0
4072.69230735, 4119.74358947, 4126.92307665, 4120.64102537, 4125.12820485, 4132.05128178, 4144.10256390, 4126.79487152, 4123.58974332, 4140.12820492, 4132.56410229, 4116.02564075, 4099.10256376, 4121.53846126,0
4083.97435863, 4134.10256383, 4145.25641005, 4134.87179460, 4108.97435870, 4138.58974339, 4165.12820492, 4142.94871774, 4138.33333313, 4155.12820492, 4121.53846126, 4133.58974332, 4132.05128178, 4117.69230742,0
4094.87179453, 4146.53846133, 4152.43589723, 4142.17948697, 4133.20512793, 4150.38461518, 4170.64102551, 4151.92307672, 4133.97435870, 4145.38461518, 4128.20512793, 4146.79487159, 4131.15384588, 4127.82051255,0
4079.10256376, 4144.10256390, 4143.33333313, 4153.71794851, 4161.28205108, 4150.51282031, 4157.82051262, 4138.07692287, 4124.87179460, 4136.41025621, 4143.33333313, 4141.66666646, 4115.12820485, 4124.35897408,0
4078.58974325, 4132.17948691, 4138.71794851, 4156.66666646, 4150.38461518, 4137.17948697, 4151.28205108, 4127.69230742, 4123.46153819, 4139.35897415, 4139.48717928, 4131.02564075, 4124.48717921, 4127.56410229,0
4077.43589709, 4128.58974332, 4138.20512800, 4145.64102544, 4125.25640998, 4142.17948697, 4162.17948697, 4135.12820485, 4129.87179460, 4148.46153826, 4129.74358947, 4130.25640998, 4143.20512800, 4122.82051255,0
4071.02564068, 4127.82051255, 4131.02564075, 4137.56410236, 4124.10256383, 4150.76923056, 4167.69230749, 4139.23076903, 4132.30769203, 4146.92307672, 4128.71794844, 4127.43589716, 4134.10256383, 4118.46153819,0
4083.07692273, 4133.33333306, 4131.41025614, 4143.97435877, 4139.99999980, 4143.33333313, 4152.17948697, 4135.38461518, 4131.02564075, 4136.28205108, 4130.89743562, 4123.33333306, 4115.89743562, 4127.43589716,0
4082.05128171, 4145.64102544, 4140.89743569, 4148.84615364, 4141.66666646, 4152.05128185, 4151.28205108, 4142.43589723, 4137.17948697, 4152.69230749, 4146.02564082, 4132.17948691, 4123.58974332, 4120.64102537,0
4076.15384581, 4131.41025614, 4127.94871767, 4129.48717921, 4132.69230742, 4146.15384595, 4151.15384595, 4136.53846133, 4127.82051255, 4159.10256390, 4154.48717928, 4126.28205101, 4125.25640998, 4125.25640998,0
4068.84615343, 4112.30769203, 4106.92307665, 4124.35897408, 4145.25641005, 4129.23076896, 4129.87179460, 4122.69230742, 4117.05128178, 4136.92307672, 4132.82051255, 4107.30769203, 4112.05128178, 4123.07692280,0
4071.92307658, 4124.35897408, 4115.12820485, 4137.43589723, 4149.87179467, 4143.84615364, 4135.76923056, 4135.12820485, 4128.20512793, 4130.12820485, 4107.17948691, 4108.20512793, 4112.05128178, 4114.61538434,0
4096.15384581, 4138.33333313, 4141.28205108, 4135.51282031, 4116.15384588, 4156.02564082, 4173.33333320, 4156.28205108, 4139.10256390, 4147.56410236, 4128.46153819, 4133.20512793, 4132.69230742, 4126.02564075,0
4100.12820478, 4142.43589723, 4168.58974345, 4146.79487159, 4125.89743562, 4164.35897415, 4183.07692294, 4165.38461518, 4144.48717928, 4170.64102551, 4185.51282038, 4175.25641012, 4167.82051262, 4120.64102537,0
4102.43589709, 4144.10256390, 4182.69230756, 4164.23076903, 4158.33333313, 4160.64102544, 4160.25641005, 4153.58974339, 4141.92307672, 4168.07692287, 4204.99999993, 4194.87179474, 4173.71794858, 4120.76923050,0
4109.35897408, 4151.02564082, 4187.30769217, 4160.51282031, 4157.94871774, 4151.28205108, 4165.25641005, 4148.20512800, 4139.99999980, 4153.84615364, 4200.51282038, 4193.71794858, 4156.28205108, 4122.69230742,0
4108.46153819, 4161.66666646, 4199.48717935, 4160.38461518, 4160.51282031, 4168.71794858, 4186.79487166, 4161.79487159, 4143.20512800, 4155.89743569, 4216.92307686, 4207.17948711, 4164.99999980, 4116.92307665,0
4117.94871767, 4162.69230749, 4197.94871781, 4162.43589723, 4150.38461518, 4175.76923063, 4182.43589730, 4160.64102544, 4137.82051262, 4159.23076903, 4211.79487173, 4205.12820506, 4174.61538448, 4128.46153819,0
4115.51282024, 4161.02564082, 4191.66666653, 4161.41025621, 4126.02564075, 4166.28205108, 4183.20512807, 4151.79487159, 4136.66666646, 4163.20512800, 4191.28205115, 4194.48717935, 4171.28205115, 4121.92307665,0
4107.94871767, 4144.23076903, 4192.05128192, 4153.33333313, 4118.33333306, 4160.25641005, 4180.12820499, 4145.38461518, 4136.02564082, 4155.76923056, 4189.10256397, 4192.05128192, 4162.69230749, 4118.97435870,0
4108.20512793, 4134.74358947, 4184.23076910, 4145.64102544, 4132.30769203, 4156.02564082, 4162.56410236, 4138.46153826, 4126.15384588, 4141.41025621, 4190.64102551, 4183.20512807, 4157.43589723, 4123.58974332,0
4098.33333299, 4148.33333313, 4172.69230756, 4151.53846133, 4152.17948697, 4155.64102544, 4154.35897415, 4134.48717921, 4121.66666639, 4141.92307672, 4187.43589730, 4176.28205115, 4152.17948697, 4117.56410229,0
4094.23076889, 4138.46153826, 4158.07692287, 4143.58974339, 4146.79487159, 4152.82051262, 4139.48717928, 4120.51282024, 4118.58974332, 4134.74358947, 4167.05128185, 4163.97435877, 4123.46153819, 4125.25640998,0
4093.97435863, 4126.53846126, 4160.51282031, 4146.53846133, 4139.35897415, 4148.07692287, 4137.56410236, 4119.10256383, 4120.51282024, 4132.94871767, 4163.84615364, 4164.10256390, 4123.97435870, 4119.48717921,0
4098.97435863, 4137.17948697, 4176.15384602, 4163.97435877, 4144.61538441, 4144.87179467, 4143.97435877, 4132.30769203, 4123.07692280, 4143.97435877, 4186.28205115, 4176.66666653, 4157.05128185, 4118.58974332,0
